tree_id,path,context,story_block_1,previous_action,story_block_2
apoc_seed4,0000000,Long ago the bombs fell and the world ended. You are one of the few who is still alive. You are trying to survive by scavenging among the ruins of what is left behind. ,"As you finish the peas, you feel your stomach begin to turn, and know you are in trouble.  You quickly look around for medicine.",Force yourself to vomit out the peas.,"You turn to the nearest bush and release the contents of your stomach, the pain subsides but the hunger returns."
apoc_seed4,0000001,Long ago the bombs fell and the world ended. You are one of the few who is still alive. You are trying to survive by scavenging among the ruins of what is left behind. ,"As you finish the peas, you feel your stomach begin to turn, and know you are in trouble.  You quickly look around for medicine.",Try to find a place to lie down.,"You lie down in a chair in the corner.  It's uncomfortable, but you still fall asleep."
apoc_seed4,0000010,Long ago the bombs fell and the world ended. You are one of the few who is still alive. You are trying to survive by scavenging among the ruins of what is left behind. ,You begin to feel nauseous and vomit.,realize this is from eating after a long time of not eating and force down the peas,You fight through the nausea and keep the food down.
apoc_seed4,0000011,Long ago the bombs fell and the world ended. You are one of the few who is still alive. You are trying to survive by scavenging among the ruins of what is left behind. ,You begin to feel nauseous and vomit.,throw the can and it bounces off a case of  vegetables you hurriedly  rush over to.,Looking over the vegetables you feel they are by far uneatable.
apoc_seed4,0000100,Long ago the bombs fell and the world ended. You are one of the few who is still alive. You are trying to survive by scavenging among the ruins of what is left behind. ,"As you enter the bedroom, you lead with the sharpened broom handle.  Luckily it is empty, and you quickly pack up a blanket and jacket you find in the closet.",there are thermals to wear in the drawers,It's warm.  You are glad that you found the jacket.
apoc_seed4,0000101,Long ago the bombs fell and the world ended. You are one of the few who is still alive. You are trying to survive by scavenging among the ruins of what is left behind. ,"As you enter the bedroom, you lead with the sharpened broom handle.  Luckily it is empty, and you quickly pack up a blanket and jacket you find in the closet.",there are arrows to pick up on the ground,You walk outside.  There is a deadly silence in the air.
apoc_seed4,0000102,Long ago the bombs fell and the world ended. You are one of the few who is still alive. You are trying to survive by scavenging among the ruins of what is left behind. ,"As you enter the bedroom, you lead with the sharpened broom handle.  Luckily it is empty, and you quickly pack up a blanket and jacket you find in the closet.",Try to fit some shoes in your bag that is quickly filling up.,You open the bag. find some shoe which is Ok for the time being. You wear it
apoc_seed4,0000103,Long ago the bombs fell and the world ended. You are one of the few who is still alive. You are trying to survive by scavenging among the ruins of what is left behind. ,"As you enter the bedroom, you lead with the sharpened broom handle.  Luckily it is empty, and you quickly pack up a blanket and jacket you find in the closet.",Turn around to pick up your broom.,You then hear a loud crashing sound coming from nearbye.
apoc_seed4,0000110,Long ago the bombs fell and the world ended. You are one of the few who is still alive. You are trying to survive by scavenging among the ruins of what is left behind. ,"You find one door is unlocked, leading you to a dark staircase.",go down the stairs,"You walk down the dark staircase, cobwebs choking you as you struggle to see."
apoc_seed4,0000111,Long ago the bombs fell and the world ended. You are one of the few who is still alive. You are trying to survive by scavenging among the ruins of what is left behind. ,"You find one door is unlocked, leading you to a dark staircase.",close the door without going through the doorway,You continue walking through the building. You hear a noise and pull out your broom.
