tree_id,path,context,story_block_1,previous_action_1,story_block_2,previous_action_2
apoc_seed4,0000000,Long ago the bombs fell and the world ended. You are one of the few who is still alive. You are trying to survive by scavenging among the ruins of what is left behind. ,"You get the can of peas open and use the wooden spoon to take a bite of them.  They taste horrible, but you are so hungry that you hardly notice.",Keep eating the peas.,"As you finish the peas, you feel your stomach begin to turn, and know you are in trouble.  You quickly look around for medicine.",Force yourself to vomit out the peas.
apoc_seed4,0000001,Long ago the bombs fell and the world ended. You are one of the few who is still alive. You are trying to survive by scavenging among the ruins of what is left behind. ,"You get the can of peas open and use the wooden spoon to take a bite of them.  They taste horrible, but you are so hungry that you hardly notice.",Keep eating the peas.,"As you finish the peas, you feel your stomach begin to turn, and know you are in trouble.  You quickly look around for medicine.",Try to find a place to lie down.
apoc_seed4,0000010,Long ago the bombs fell and the world ended. You are one of the few who is still alive. You are trying to survive by scavenging among the ruins of what is left behind. ,"You get the can of peas open and use the wooden spoon to take a bite of them.  They taste horrible, but you are so hungry that you hardly notice.",Spit the peas onto the ground and stop eating them.,You begin to feel nauseous and vomit.,realize this is from eating after a long time of not eating and force down the peas
apoc_seed4,0000011,Long ago the bombs fell and the world ended. You are one of the few who is still alive. You are trying to survive by scavenging among the ruins of what is left behind. ,"You get the can of peas open and use the wooden spoon to take a bite of them.  They taste horrible, but you are so hungry that you hardly notice.",Spit the peas onto the ground and stop eating them.,You begin to feel nauseous and vomit.,throw the can and it bounces off a case of  vegetables you hurriedly  rush over to.
apoc_seed4,0000100,Long ago the bombs fell and the world ended. You are one of the few who is still alive. You are trying to survive by scavenging among the ruins of what is left behind. ,You put the broom into your bag and carry it around in case you need to protect yourself.,Move to bedroom to find more stuff,"As you enter the bedroom, you lead with the sharpened broom handle.  Luckily it is empty, and you quickly pack up a blanket and jacket you find in the closet.",put on the blanket and jacket to stay warm
apoc_seed4,0000101,Long ago the bombs fell and the world ended. You are one of the few who is still alive. You are trying to survive by scavenging among the ruins of what is left behind. ,You put the broom into your bag and carry it around in case you need to protect yourself.,Move to bedroom to find more stuff,"As you enter the bedroom, you lead with the sharpened broom handle.  Luckily it is empty, and you quickly pack up a blanket and jacket you find in the closet.",leave the house and continue on your journey
apoc_seed4,0000102,Long ago the bombs fell and the world ended. You are one of the few who is still alive. You are trying to survive by scavenging among the ruins of what is left behind. ,You put the broom into your bag and carry it around in case you need to protect yourself.,Move to bedroom to find more stuff,"As you enter the bedroom, you lead with the sharpened broom handle.  Luckily it is empty, and you quickly pack up a blanket and jacket you find in the closet.",Try to fit some shoes in your bag that is quickly filling up.
apoc_seed4,0000103,Long ago the bombs fell and the world ended. You are one of the few who is still alive. You are trying to survive by scavenging among the ruins of what is left behind. ,You put the broom into your bag and carry it around in case you need to protect yourself.,Move to bedroom to find more stuff,"As you enter the bedroom, you lead with the sharpened broom handle.  Luckily it is empty, and you quickly pack up a blanket and jacket you find in the closet.",Turn around to pick up your broom.
apoc_seed4,0000110,Long ago the bombs fell and the world ended. You are one of the few who is still alive. You are trying to survive by scavenging among the ruins of what is left behind. ,You put the broom into your bag and carry it around in case you need to protect yourself.,Check that doors are locked,"You find one door is unlocked, leading you to a dark staircase.",go down the stairs
apoc_seed4,0000111,Long ago the bombs fell and the world ended. You are one of the few who is still alive. You are trying to survive by scavenging among the ruins of what is left behind. ,You put the broom into your bag and carry it around in case you need to protect yourself.,Check that doors are locked,"You find one door is unlocked, leading you to a dark staircase.",close the door without going through the doorway
apoc_seed4,0000200,Long ago the bombs fell and the world ended. You are one of the few who is still alive. You are trying to survive by scavenging among the ruins of what is left behind. ,A man appears from another room in the house.,Confront him - maybe he has things you can steal.,"You pull out your gun and ask the man what he is doing there.  You notice his bag, and tell him to empty it.",Knock the man unconscious.
apoc_seed4,0000201,Long ago the bombs fell and the world ended. You are one of the few who is still alive. You are trying to survive by scavenging among the ruins of what is left behind. ,A man appears from another room in the house.,Confront him - maybe he has things you can steal.,"You pull out your gun and ask the man what he is doing there.  You notice his bag, and tell him to empty it.",Browse through the stuff the man pulled out of the bag.
apoc_seed4,0000210,Long ago the bombs fell and the world ended. You are one of the few who is still alive. You are trying to survive by scavenging among the ruins of what is left behind. ,A man appears from another room in the house.,Run away.,"You burst through the front door of the house, knowing the man won't take kindly to you stealing the few things he had left.",Look behind  yourself to see if he's chasing you.
